address,choice.1,choice.2,choice.3,choice.4,choice.5,choice.6,voting_power,timestamp,author_ipfs_hash,reason
0x3Ba6eB0e4327B96aDe6D4f3b578724208a590CEF,,2,1,2,1,,0.33891051717021775,1698315786,bafkreidxmfqkrl4gmrqq4ecapmgespdozgq3bslfz6i262ijliqdelc6zy,""
0xd7F9c6EfDFa2bd42b440E61Bbbd263203025AA32,,,,1,,,0.24512411809084592,1698317285,bafkreifn37cygb4zzlhpujtzj4frxlqt2eq523w6dincupz327g7za5nue,""
0xF83D3292a1da5FAfeb2b46905E3B1C9D544E9ce8,,,,,,1,6.5689644455078255,1698323759,bafkreidcf7ch5mgptzdulzt6wa6eayvuxxajetpfp3iuzvscjzn7wttlwm,""
0x314C0695273Ba259Bb60074f2C92c67AC7ae6D40,,3,,1,,,5.648508619503629,1698328683,bafkreihrjodqcsxfheezljfctcodqaola3ljzqrxriu5pm52rofab67c6y,""
0xf8CaBD50f572295294FF401E70b70C612f91919f,,,,,10,20,0.7657696631172003,1698331163,bafkreidb47fdlpuh5u4c5ibkd7eaiq3iwug77pj6o44qapqwy6kbl5puyu,""
0x7609c725d6BC864e83d39B1b4fbe2676d134e47B,,,100,,,,12.191775240576858,1698331810,bafkreiftwwiuh5zlxni3o6mm74aaqie4adac5vmozfisno4yhqbl4gik7q,""
0xFFcFA5F7b994AEB4c6931e0A6Cd95d8984e038CE,,1,,,,,2.2594034478014517,1698335940,bafkreiau3b5iml7d7lqy2kdzdivwes2x3wetdambgwyygdwssyvrzuhwwa,""
0x2F8742738E55B7e15d8c1AA213Af1Ff9289C7C6B,,10,,20,70,,141.21271548759074,1698337759,bafkreihlzfgwx2trqxuufb7f4zcpclgbkvxyvecuvj6bdlkqw3mq44fa5a,""
0xd67f2ED258deF09d5B7F0021482A5648D65562dC,,5,1,5,2,2,0.7355007004922894,1698339336,bafkreidwfxdoy5vpfjsvdsoalpxbpxbdj4jvhzhiyfu2uirmqpapsz35ne,""
0xa8CC9BCf39E981e5629731A18e87A7FCaf4D72B3,,1,1,,,,8.472762929255444,1698353812,bafkreidfnu6ebzg4mc3ex7tbb5phgj4o6ls5yxbv7nkjol6s5lqom6xyda,""
0x6de4DbB57fb1fCd7b2e824CaEC2785C3D4890728,,,,,,1,0.9593284105057885,1698371605,bafkreiahe6ifkitigoumk73t7b3fntb3xbrad3bw5y4mtjxmyfcsa3eeva,""
0x906AfE716e75fBB69B22cAD01Ab19b43de32308b,,,,1,,,1.3074190519444164,1698375429,bafkreiedyc5mdrawjbnhlhhrqktkef7nfwyacajtvb5q53qjfptbunrewa,""
0xE53D3f2B99FE0Ed6C05977bC0547127836f0D78d,,1,1,,,,0.41740770152747614,1698383980,bafkreihgznkbxtuzcaqy5vebxi76aiosezywbb2utuahos6h6xo7ccpqzy,""
0x71d4811f278150e9d400Fa4B6CC1962C1b29Cebc,,,,100,,,8.472762929255444,1698411440,QmYzjCqisKvnMHq4VUgfNQyN9bjZkNgoM2jwRMkmdWfZyD,""
0xb957DccaA1CCFB1eB78B495B499801D591d8a403,,1,1,1,1,1,0.20421549834137623,1698413637,bafkreigfeyadwkranca26ccv5bgxsg2rmnyqup4onptfzpyro3orsvkhni,""
0x304e9A1ecE71B1936E3436936fc4b523D199517d,,2,,,2,,12.979427860489098,1698416047,bafkreic3e2xzivdoo7protpqs25osstfuzncktl4aj2ueobfj7rqikphtm,""
0xEbDb626C95a25f4e304336b1adcAd0521a1Bdca1,,,,,,1,35.020753440922505,1698419293,bafkreie4psccqpnqw5wdtdmz3rr65cubdhanfok6cn3g44mvwxns62i3mq,""
0x54B2bC420f9d59A4a4Eda1c5121D6FA43Ad80193,,100,,,,,0.17993853732156379,1698432225,bafkreiflib4x4j47qao4lqxg6hfxc23yb57vvjypwvkvhora3qxfbnpf6u,""
0x44FdC6E37d0D5a6f58b09E411465A8e903695670,,1,1,1,1,1,0.5648508619503629,1698433972,bafkreieoxxmgjxvhdwku4nwyxkfvlgsb2orn4os6sp5hg7m66izgzi5nje,""
0x5FcdC32DfC361a32e9d5AB9A384b890C62D0b8AC,,1,1,1,1,1,0.5674030038931946,1698433992,bafkreibzrqhisyusevobqiltzpftd6gh5a3cjookqpu4ewygtdgjly3mom,""
0xE9BD9bCE3B1AB61F380547EBaC49B4D0bfAE1c0C,,,,,,1,0.38388925226876847,1698436766,bafkreig7khgozaoodcbvis7gsbogzkf75umvf5bwfayrxqv6nwaqa4wlp4,""
0x98625957C6b96eeECD040e5BD26bd42100D124B2,1,,,,,,0.01221229552728368,1698440792,bafkreicge6yanxsoqsh5ucsybknzu4x4i54emoxr2s56csduyl464y5u2i,""
0xE7cB1Fdfb798425bC0e8B8F7e033fac22517E1f4,,4,1,5,2,3,2.1983700372898496,1698442096,bafkreigthr4j32x75tumymnqfaqzq7rtln4y2cabyrdldzrwkydc732rv4,""
0x95adAec801B3e8cb7aa90c6922E23dC987cA2bBf,,4,1,5,2,3,0.5652241601528217,1698442615,bafkreifq7jbg4gydlxbirdivrralzxtoo62l4eyzmryo3qsbvx6qllr3t4,""
0xFAf96688b8564597265FbFf5CA01E5B8FcA76D8B,,30,30,10,15,15,0.2084243820804614,1698452957,bafkreif27olfmmpq4ezdcqx2zua3n7feyx3denj4kpgdh5ta5djggyehoa,""
